name	x	y
Spark Notes The(-)Great Gatsby	2957.4	764.46
The Complete Short Stories of Ernest(-)Hemingway: The Finca Vigia Edition	2801	721.14
To Have and(-)Have Not	2676.8	783.87
The Odyssey(-)of Homer	1193	1360.5
"Aeschylus I: Oresteia: Agamemnon, The Libation(-)Bearers, The Eumenides "	976.42	1371.3
"Sophocles I: Oedipus The King, Oedipus(-)at Colonus, Antigone "	751.24	1388.2
The History of the Peloponnesian(-)War: Revised Edition 	1219.4	1572.7
Medea and Other(-)Plays 	1766.1	1125.4
Plutarch's Lives Volume(-)1 	1446.3	1535.2
"Plutarch's Lives, Volume(-)2 "	1370	1591.1
The Twelve(-)Caesars 	954.59	1530
The Rise of the(-)Roman Empire 	881.29	1624.7
"The Annals: The Reigns of Tiberius,(-)Claudius, and Nero "	903.09	1574.8
The Civil(-)War 	964.24	1645.2
Paradise Lost and Paradise(-)Regained 	1972.4	1213.1
The Dore Illustrations for(-)Dante's Divine Comedy	705.77	1229.4
A Modern Reader's Guide to(-)Dante's the Divine Comedy	1067.6	1283.2
Paradise_ 	1146.7	1513.1
Purgatorio 	1806.8	1507.7
St. Augustine(-)Confessions 	1471.9	1589.8
Paradiso 	1812.8	1460.4
"The War with Hannibal: The History of Rome(-)from Its Foundation, Books XXI-XXX "	501.72	1622.6
The Fall of the Roman(-)Republic: Six Lives 	763.99	1624
Rome and the Mediterranean: Books XXXI-XLV of the(-)History of Rome from its Foundation 	488.99	1668.7
The Essential Homer: Selections from the(-)Iliad and the Odyssey	979.06	1327.3
The Aeneid of(-)Virgil 	1613.7	1498.2
Anthology Of Classical Myth: Primary Sources in Translation : with Additional Translations by Other(-)Scholars and an Appendix on Linear B sources by Thomas G. Palaima	1753	1570.3
Classical Mythology	1146.4	1208.3
The Bhagavad(-)Gita 	1828.8	1744.2
Homeric Hymns(-)	1453.4	1185
"Heroes, Gods and Monsters(-)of the Greek Myths"	1417	841.28
The Dictionary of(-)Classical Mythology	1752	891.75
The Complete World of(-)Greek Mythology	1309.4	951.61
D'Aulaires' Book of(-)Greek Myths	1320.9	753.22
How to Read Novels Like a Professor: A(-)Jaunty Exploration of the World's Favorite Literary Form	4057.7	775.94
"Voice Lessons: Classroom Activities to Teach(-)Diction, Detail, Imagery, Syntax, and Tone"	4081.1	585.46
Reading Like a Writer: A Guide for People Who Love(-)Books and for Those Who Want to Write Them 	4336.2	770.19
Politics 	1651.7	1765.3
The Communist(-)Manifesto 	1803.8	1951.7
Nicomachean Ethics	1484.3	1752.5
The Wealth of(-)Nations 	2056	1953.4
Leviathan 	1658.4	1810.1
The Daodejing(-)of Laozi	2447.3	1847
Meditations on First Philosophy: In Which the Existence of God and(-)the Distinction of the Soul from the Body Are Demonstrated	1442.8	1840.5
Introductory Lectures(-)on Psychoanalysis	1883.6	1907.7
The Epic of(-)Gilgamesh 	1743.4	1724
Legacy of Ashes: The(-)History of the CIA	4372.9	1169.1
The Age of Turbulence: Adventures(-)in a New World	4644.3	1010.2
The Coldest Winter: America(-)and the Korean War	4611.4	1058.3
The Brethren: Inside the(-)Supreme Court	4613.8	966.05
American Creation: Triumphs and Tragedies in(-)the Founding of the Republic	4580.1	921.85
The World in Six Songs: How(-)the Musical Brain Created Human Nature	4064.9	1081.3
"Music, The Brain, And Ecstasy: How(-)Music Captures Our Imagination"	4181.9	967.57
Music and(-)the Mind	4181.5	1011.7
"The Singing Neanderthals: The Origins of(-)Music, Language, Mind, and Body"	4140.9	923.45
The First(-)Man	2630.1	1592.4
The Fifth(-)Mountain	3165.3	198.75
The Valkyries	3073.6	110.73
Brida: A(-)Novel 	2903.2	221.04
Eleven Minutes: A(-)Novel 	3021.8	265.02
The Zahir: A Novel(-)of Obsession 	2763.4	234.79
The Servant-Leader Within: A(-)Transformative Path	2492.4	510.06
Focus on Leadership: Servant-Leadership(-)for the 21st Century	2305.4	527.41
Moral Intelligence: Enhancing Business Performance(-)and Leadership Success 	2551.1	465.55
The Congruent Life: Following the Inward Path(-)to Fulfilling Work and Inspired Leadership	2301.9	465.84
Gertrude: A(-)Novel	2307.6	889.91
Catharine: and Other(-)Writings 	1717.3	513.54
A Tale of Two(-)Cities: 150th Anniversary 	2073.2	833.58
Wuthering Heights_(-)	1616.5	477.94
Wuthering Heights__(-)	1590.8	522.11
On Beauty	3222.1	1381.2
The Remains of(-)the Day	3103.3	1418.6
David Copperfield(-)	1923.3	696.05
Bleak House	1580.4	433.91
Twilight: Director's Notebook: The Story of How We Made the(-)Movie Based on the Novel by Stephenie Meyer	2030.3	466.63
Twilight: The(-)Score	1969.4	421.77
The Twilight(-)Saga Collection	2064.1	510.76
Chosen 	2176.8	233.39
Untamed 	2203.6	333.2
Hunted 	2164.8	421.28
Vampire Academy(-)	2134.7	289.05
The Marx-Engels(-)Reader: 	1697	2003.1
Arrow of(-)God	2934.3	1331.3
A Man of(-)the People	2973.5	1212.9
Anthills of(-)the Savannah	3015.8	1279.1
Girls at(-)War	2940.2	1281.9
The Good(-)Earth 	2396.8	1159.7
Warning to(-)the West	3154.8	1825.8
The Gulag Archipelago 1918-1956 Abridged: An(-)Experiment in Literary Investigation 	3472.9	1799.6
